title,popular_rank,startYear,runtime,type,origin_country,language,rating,US_country,English_language
Arrival,144,2016,116,movie,United States,English,7.9,TRUE,TRUE
Stalked by My Doctor,2178,2015,88,tvMovie,United States,English,5.5,TRUE,TRUE
Marco Polo,500,2014,60,tvSeries,United States,English,8,TRUE,TRUE
Flatbush Luck,4195,2016,93,movie,United States,English,5.8,TRUE,TRUE
Elisa y Marcela,1292,2019,118,movie,Spain,Spanish,6.6,FALSE,FALSE
ReBoot: The Guardian Code,2644,2018,30,tvSeries,Canada,English,3.8,FALSE,TRUE
Loco por ella,1361,2021,102,movie,Spain,Spanish,6.6,FALSE,FALSE
Sergio,1420,2020,118,movie,United States,English,6.1,TRUE,TRUE
 Maniac,12303,2018,41,tvEpisode,United States,English,7.3,TRUE,TRUE
Live by Night,757,2016,129,movie,United States,English,6.4,TRUE,TRUE
Nuestra Lucha Libre,5640,2018,28,tvMiniSeries,Mexico,Spanish,7.5,FALSE,FALSE
Angry Birds Stella,3767,2014,6,tvSeries,Finland,None,7,FALSE,FALSE
Keizersvrouwen,1792,2019,47,tvSeries,Netherlands,Dutch,6.2,FALSE,FALSE
Cirque du Soleil: Luna Petunia,4804,2016,22,tvSeries,United States,English,6.4,TRUE,TRUE
Inrang,1800,2018,139,movie,South Korea,Korean,6,FALSE,FALSE
Live,5127,2015,97,movie,Romania,Romanian,6.1,FALSE,FALSE
Tian sheng chang ge,2189,2018,60,tvSeries,China,Mandarin,8.6,FALSE,FALSE
Bon Cop Bad Cop 2,3351,2017,126,movie,Canada,English,6.7,FALSE,TRUE
When We First Met,892,2018,97,movie,United States,English,6.4,TRUE,TRUE
"Bikram: Yogi, Guru, Predator",2758,2019,86,movie,United States,English,6.7,TRUE,TRUE
Afblijven,4786,2006,100,movie,Netherlands,Dutch,5.3,FALSE,FALSE
The Wiggles,1898,1998,30,tvSeries,Australia,English,5.8,FALSE,TRUE
Parallels,2216,2015,83,movie,United States,English,6.1,TRUE,TRUE
Reipu zonbi: Lust of the dead 3,2946,2013,68,movie,Japan,Japanese,3.9,FALSE,FALSE
Kekkai Sensen,2081,2015,24,tvSeries,Japan,Japanese,7.3,FALSE,FALSE
Music for Mandela,5929,2013,82,movie,Canada,English,6.3,FALSE,TRUE
Sonic Boom,1923,2014,11,tvSeries,United States,English,7,TRUE,TRUE
Le nozze di Laura,5244,2015,92,tvMovie,Italy,Italian,6.1,FALSE,FALSE
Toen was geluk heel gewoon,5494,2014,87,movie,Netherlands,Dutch,5.7,FALSE,FALSE
World Without End,1423,2012,374,tvMiniSeries,Canada,English,7,FALSE,TRUE
Sobat Ambyar,4451,2021,101,movie,Indonesia,Indonesian,6.4,FALSE,FALSE
 The World's Most Extraordinary Homes,14511,2017,59,tvEpisode,United Kingdom,English,7.6,FALSE,TRUE
C'est quoi cette famille?!,3900,2016,99,movie,France,French,6.2,FALSE,FALSE
Bodyguard,316,2018,60,tvSeries,United Kingdom,English,8.1,FALSE,TRUE
O Amor no Divã,4966,2016,88,movie,Brazil,Portuguese,5.6,FALSE,FALSE
Willy Wonka & the Chocolate Factory,221,1971,100,movie,United States,English,7.8,TRUE,TRUE
En passant pécho,3667,2021,99,movie,France,French,4.5,FALSE,FALSE
Evil,272,2019,42,tvSeries,United States,English,7.7,TRUE,TRUE
Tribhanga,2182,2021,95,movie,India,Hindi,6.1,FALSE,FALSE
 Narcos: México,12806,2018,57,tvEpisode,Mexico,English,8.1,FALSE,TRUE
Salvation,622,2017,43,tvSeries,United States,English,7,TRUE,TRUE
Mr. Angel,5131,2013,68,movie,United States,English,6.6,TRUE,TRUE
Queer Eye,1406,2018,45,tvSeries,United States,English,8.5,TRUE,TRUE
A Walk to Remember,483,2002,101,movie,United States,English,7.3,TRUE,TRUE
Zinzana,4843,2015,96,movie,United Arab Emirates,Arabic,7,FALSE,FALSE
Jumanji: Welcome to the Jungle,232,2017,119,movie,United States,English,6.9,TRUE,TRUE
Blame!,2414,2017,106,movie,Japan,Japanese,6.7,FALSE,FALSE
Povestea unui pierde-vara,4149,2018,100,movie,Romania,Romanian,6.5,FALSE,FALSE
Fangio: El hombre que domaba las máquinas,3834,2020,92,movie,Argentina,Spanish,6.8,FALSE,FALSE
The Repair Shop,1463,2017,30,tvSeries,United Kingdom,English,8.7,FALSE,TRUE
 Transformers: War for Cybertron,6705,2020,25,tvEpisode,United States,English,7.6,TRUE,TRUE
A Weekend with the Family,3913,2016,82,movie,United States,English,4.9,TRUE,TRUE
Nero a metà,2349,2018,60,tvSeries,Italy,Italian,6.6,FALSE,FALSE
Mismatched,2238,2020,30,tvSeries,India,Hindi,5.5,FALSE,FALSE
Um Pai no Meio do Caminho,2696,2021,103,movie,Brazil,Portuguese,5.6,FALSE,FALSE
Arifureta Shokugyou de Sekai Saikyou,1696,2019,23,tvSeries,Japan,Japanese,6.9,FALSE,FALSE
Let's Be Evil,4422,2016,82,movie,United Kingdom,English,4.2,FALSE,TRUE
 Pretty Little Liars,10471,2014,44,tvEpisode,United States,English,7.9,TRUE,TRUE
Pigoin,2784,2017,70,tvSeries,South Korea,Korean,8.2,FALSE,FALSE
Lara and the Beat,4745,2018,137,movie,Nigeria,English,6.3,FALSE,TRUE
Iliza Shlesinger: Confirmed Kills,4773,2016,77,tvSpecial,United States,English,6.6,TRUE,TRUE
Five Minarets in New York,3201,2010,119,movie,Turkey,Turkish,5.8,FALSE,FALSE
Sahara,3023,2017,86,movie,France,English,5.6,FALSE,TRUE
Wolkenbruchs wunderliche Reise in die Arme einer Schickse,2729,2018,94,movie,Switzerland,German,6.6,FALSE,FALSE
Hell and Back,2502,2015,86,movie,United States,English,5.4,TRUE,TRUE
The Last Summer,1165,2019,109,movie,United States,English,5.6,TRUE,TRUE
Romaenseuneun Byulchaekboorok,1482,2019,62,tvSeries,South Korea,Korean,8.1,FALSE,FALSE
Life Unexpected,1556,2010,60,tvSeries,United States,English,7.5,TRUE,TRUE
Advantageous,2384,2015,90,movie,United States,English,6.2,TRUE,TRUE
Indiscretion,3659,2016,99,movie,United States,English,4.8,TRUE,TRUE
Muscle Shoals,2604,2013,111,movie,United States,English,7.7,TRUE,TRUE
Soekarno: Indonesia Merdeka,4738,2013,137,movie,Indonesia,Indonesian,7,FALSE,FALSE
De gelukkige huisvrouw,4317,2010,100,movie,Netherlands,Dutch,6.7,FALSE,FALSE
Haters Back Off!,1568,2016,30,tvSeries,United States,English,6,TRUE,TRUE
Bo Burnham: Make Happy,576,2016,60,tvSpecial,United States,English,8.5,TRUE,TRUE
A.I.C.O. Incarnation,3480,2018,25,tvSeries,Japan,Japanese,6.4,FALSE,FALSE
The Director: An Evolution in Three Acts,4584,2013,85,movie,United States,English,6.2,TRUE,TRUE
Below Her Mouth,506,2016,94,movie,Canada,English,5.5,FALSE,TRUE
The Age of Spin: Dave Chappelle Live at the Hollywood Palladium,3807,2017,67,tvSpecial,United States,English,8.1,TRUE,TRUE
Kulipari: An Army of Frogs,4213,2016,20,tvSeries,United States,English,7,TRUE,TRUE
Comedians in Cars Getting Coffee,1479,2012,20,tvSeries,United States,English,8.1,TRUE,TRUE
 Disenchantment,13400,2018,36,tvEpisode,United States,English,6.9,TRUE,TRUE
Zumbo's Just Desserts,2979,2016,52,tvSeries,Australia,English,6.9,FALSE,TRUE
Dear Nathan Hello Salma,4082,2018,101,movie,Indonesia,Indonesian,7.6,FALSE,FALSE
Dancing Queens,345,2021,110,movie,Sweden,Swedish,5.2,FALSE,FALSE
Venom,183,2018,112,movie,China,English,6.7,FALSE,TRUE
A Toca,6216,2013,30,tvSeries,Brazil,Portuguese,4.1,FALSE,FALSE
Apostle,609,2018,130,movie,United Kingdom,English,6.3,FALSE,TRUE
 The Good Place,6700,2019,22,tvEpisode,United States,English,7.8,TRUE,TRUE
Wish You,2697,2021,102,movie,South Korea,Korean,6.5,FALSE,FALSE
Child's Play,761,2019,90,movie,Canada,English,5.8,FALSE,TRUE
Easy,545,2016,30,tvSeries,United States,English,6.9,TRUE,TRUE
House of Bodies,3613,2013,79,movie,United States,English,4.3,TRUE,TRUE
Target,4052,2018,93,movie,Indonesia,Indonesian,4,FALSE,FALSE
Dust Up,5184,2012,94,movie,United States,English,4.9,TRUE,TRUE
Poketto monsutâ,494,1997,24,tvSeries,Japan,Japanese,7.5,FALSE,FALSE
Penny Dreadful,291,2014,60,tvSeries,Ireland,English,8.2,FALSE,TRUE
Roohi,1454,2021,134,movie,India,Hindi,4.3,FALSE,FALSE
Wyatt Cenac: Brooklyn,5783,2014,67,tvSpecial,United States,English,6.3,TRUE,TRUE
Saikometeuri Geunyeoseok,2781,2019,65,tvSeries,South Korea,Korean,7.8,FALSE,FALSE
I'm Reed Fish,3141,2006,93,movie,United States,English,5.7,TRUE,TRUE
Louis C.K. 2017,4047,2017,74,tvSpecial,United States,English,7.6,TRUE,TRUE
Rebellion,1065,2016,258,tvMiniSeries,Ireland,English,7.2,FALSE,TRUE
Steven Universe,468,2013,11,tvSeries,United States,Korean,8.2,TRUE,FALSE
 Jessica Jones,11171,2015,52,tvEpisode,United States,English,8,TRUE,TRUE
Middle of Nowhere,2427,2012,97,movie,United States,English,6.4,TRUE,TRUE
Beyblade Burst,2922,2016,24,tvSeries,Japan,English,6.7,FALSE,TRUE
Kung Fu Elliot,5235,2014,81,movie,Canada,English,6.5,FALSE,TRUE
Atari: Game Over,4438,2014,66,movie,United States,English,6.7,TRUE,TRUE
127 Hours,613,2010,94,movie,United States,English,7.5,TRUE,TRUE
The Irishman,201,2019,209,movie,United States,English,7.8,TRUE,TRUE
Eyyvah Eyvah,4564,2010,104,movie,Turkey,Turkish,7,FALSE,FALSE
Reversing Roe,4372,2018,99,movie,United States,English,7.5,TRUE,TRUE
Breakfast at Tiffany's,632,1961,115,movie,United States,English,7.6,TRUE,TRUE
Rocko's Modern Life: Static Cling,3134,2019,45,tvMovie,United States,English,7,TRUE,TRUE
2006 Independent Spirit Awards,5876,2006,109,tvSpecial,United States,English,6.6,TRUE,TRUE
Feel Good,119,2020,30,tvSeries,United Kingdom,English,7.5,FALSE,TRUE
Bellas de Noche,4716,2016,92,movie,Mexico,Spanish,7.3,FALSE,FALSE
Nikki Glaser: Bangin',4283,2019,63,tvSpecial,United States,English,6,TRUE,TRUE
Mater,2939,2017,80,movie,Argentina,Spanish,4.6,FALSE,FALSE
R.L. Stine's Monsterville: Cabinet of Souls,1897,2015,86,tvMovie,United States,English,5.7,TRUE,TRUE
City of Tiny Lights,1378,2016,110,movie,United Kingdom,English,5.5,FALSE,TRUE
Karakai Jouzu no Takagi-san,2035,2018,23,tvMiniSeries,Japan,Japanese,7.7,FALSE,FALSE
War Flowers,4263,2012,99,movie,United States,English,4.4,TRUE,TRUE
The Babysitter,358,2017,85,movie,United States,English,6.3,TRUE,TRUE
Making the American Man,5930,2016,68,movie,United States,English,5.4,TRUE,TRUE
Hollywood,466,2020,347,tvMiniSeries,United States,English,7.5,TRUE,TRUE
First Team: Juventus,4276,2018,40,tvSeries,United States,Italian,7.3,TRUE,FALSE
My Little Pony: Equestria Girls - Friendship Games,4054,2015,72,movie,United States,English,6.6,TRUE,TRUE
Home for Christmas,1872,2019,29,tvSeries,Norway,Norwegian,7.7,FALSE,FALSE
Professor Mack,5324,2019,83,movie,United States,English,4.4,TRUE,TRUE
Step Up 3D,1249,2010,107,movie,United States,English,6.2,TRUE,TRUE
