title,popular_rank,startYear,runtime,type,origin_country,language,rating,US_country,English_language
The Characters,2448,2016,30,tvSeries,United States,English,5.4,TRUE,TRUE
Voor elkaar gemaakt,4676,2017,93,movie,Netherlands,Dutch,6.2,FALSE,FALSE
Teen Titans Go!,715,2013,10,tvSeries,United States,English,5.3,TRUE,TRUE
Narcos,112,2015,49,tvSeries,United States,English,8.8,TRUE,TRUE
The Bold Type,62,2017,45,tvSeries,United States,English,7.9,TRUE,TRUE
Dilwale,2058,2015,158,movie,India,Hindi,5.1,FALSE,FALSE
Mechanic: Resurrection,766,2016,98,movie,United States,English,5.7,TRUE,TRUE
 GLOW,12746,2017,37,tvEpisode,United States,English,7.8,TRUE,TRUE
Shaun the Sheep: Adventures from Mossy Bottom,3371,2020,14,tvSeries,United Kingdom,English,8.1,FALSE,TRUE
Aenggeurimam,4106,2015,70,tvSeries,South Korea,Korean,7.6,FALSE,FALSE
Børning 3,2209,2020,100,movie,Norway,Swedish,5.1,FALSE,FALSE
Larceny,4301,2017,87,movie,United States,English,3.5,TRUE,TRUE
The Fundamentals of Caring,718,2016,97,movie,United States,English,7.3,TRUE,TRUE
Maroon,5154,2017,94,movie,India,Hindi,5.1,FALSE,FALSE
Artifact,4343,2012,103,movie,United States,English,8,TRUE,TRUE
Hotel Transylvania 3: Summer Vacation,571,2018,97,movie,United States,English,6.3,TRUE,TRUE
Mannen van Mars,1726,2018,91,movie,Netherlands,Dutch,6,FALSE,FALSE
Ultraviolet,2186,2017,60,tvSeries,Poland,Polish,7,FALSE,FALSE
Robozuna,4590,2018,22,tvSeries,United Kingdom,English,6.2,FALSE,TRUE
Nae Aidineun Gangnammiin,2231,2018,60,tvSeries,South Korea,Korean,7.5,FALSE,FALSE
Hanebado!,4684,2018,24,tvSeries,Japan,Japanese,6.4,FALSE,FALSE
Persona,3159,2019,20,tvMiniSeries,South Korea,Korean,6.6,FALSE,FALSE
Re: Mind,3024,2017,30,tvMiniSeries,Japan,Japanese,5,FALSE,FALSE
Menendez Parte 1: El día del Señor,2868,2020,93,movie,Mexico,Spanish,4.9,FALSE,FALSE
Serebryanye konki,1496,2020,130,movie,Russia,Russian,6.6,FALSE,FALSE
Neko no ongaeshi,1197,2002,75,movie,Japan,Japanese,7.2,FALSE,FALSE
Incerta glòria,2808,2017,115,movie,Spain,Catalan,6.2,FALSE,FALSE
 Barbarians,7427,2020,49,tvEpisode,Germany,German,8.1,FALSE,FALSE
In Oranje,4756,2004,90,movie,Netherlands,Dutch,6.5,FALSE,FALSE
Avatar: The Last Airbender,138,2005,23,tvSeries,United States,English,9.3,TRUE,TRUE
The Discovery,1235,2017,102,movie,United States,English,6.3,TRUE,TRUE
Care Bears and Cousins,5133,2015,132,tvSeries,United States,English,6.8,TRUE,TRUE
Raketsonyeondan,1289,2021,80,tvSeries,South Korea,Korean,8.4,FALSE,FALSE
Finding Home,5564,2014,118,movie,United States,English,7.9,TRUE,TRUE
Katherine Ryan: Glitter Room,4847,2019,65,tvSpecial,United States,English,6.7,TRUE,TRUE
I Think You Should Leave with Tim Robinson,996,2019,16,tvSeries,United States,English,7.7,TRUE,TRUE
Gaga: Five Foot Two,2989,2017,100,movie,United States,English,7,TRUE,TRUE
Fairy Tail: Fearî teiru,653,2009,24,tvSeries,Japan,Japanese,8,FALSE,FALSE
 Arrow,14067,2018,42,tvEpisode,United States,Greek,9.1,TRUE,FALSE
Swiped,2011,2018,93,movie,United States,English,3,TRUE,TRUE
Enola Holmes,189,2020,123,movie,United Kingdom,English,6.6,FALSE,TRUE
The Whole Truth,170,2016,93,movie,United States,English,6.2,TRUE,TRUE
Legends of Tomorrow,80,2016,42,tvSeries,United States,English,6.8,TRUE,TRUE
Brij Mohan Amar Rahe,3382,2017,105,movie,India,Hindi,6.8,FALSE,FALSE
Move to Heaven,323,2021,60,tvSeries,South Korea,Korean,8.8,FALSE,FALSE
DeRay Davis: How to Act Black,5573,2017,66,tvSpecial,United States,English,6.1,TRUE,TRUE
TharnType,2012,2019,52,tvSeries,Thailand,Thai,8.3,FALSE,FALSE
The Good Wife,284,2009,43,tvSeries,United States,English,8.3,TRUE,TRUE
The Clovehitch Killer,184,2018,109,movie,United States,English,6.6,TRUE,TRUE
The Comedy Lineup,4374,2018,15,tvSeries,United States,English,5.9,TRUE,TRUE
Trippin' with the Kandasamys,1210,2021,93,movie,South Africa,English,5.3,FALSE,TRUE
Inspector Gadget,3160,2015,22,tvSeries,Canada,English,4.6,FALSE,TRUE
I Am a Killer,1877,2018,52,tvSeries,United Kingdom,English,7.4,FALSE,TRUE
Laipeu,2958,2018,60,tvSeries,South Korea,Korean,7.6,FALSE,FALSE
What Keeps You Alive,1297,2018,98,movie,Canada,English,5.7,FALSE,TRUE
